Date,Time,Air_temp(C),Dew_pt(C),Rela_hum(%),Wind_speed(m/s),Wind_dir(degree),Wind_gust(m/s)
01/01/1999,00:50,11.72,NaN,92.9,2.57,260.0,NaN
01/01/1999,01:50,12.22,NaN,92.9,0.00,0.0,NaN
01/01/1999,02:50,12.22,NaN,92.9,0.00,0.0,NaN
01/01/1999,03:50,12.78,NaN,86.7,2.06,NaN,NaN
01/01/1999,04:50,12.78,NaN,86.7,1.54,140.0,NaN
01/01/1999,05:50,11.72,NaN,89.2,3.60,110.0,NaN
01/01/1999,06:50,11.11,NaN,89.1,3.60,110.0,NaN
01/01/1999,07:50,10.00,NaN,92.8,3.09,90.0,NaN
01/01/1999,08:50,10.61,NaN,89.1,2.57,70.0,NaN
01/01/1999,09:50,10.61,NaN,89.1,2.06,20.0,NaN
01/01/1999,10:50,9.39,NaN,96.7,0.00,0.0,NaN
01/01/1999,11:50,8.89,NaN,100.0,0.00,0.0,NaN
01/01/1999,12:50,8.89,NaN,96.0,0.00,0.0,NaN
01/01/1999,13:50,6.72,NaN,100.0,2.57,90.0,NaN
01/01/1999,14:50,8.28,NaN,100.0,2.06,70.0,NaN
01/01/1999,15:50,9.39,NaN,92.8,0.00,0.0,NaN
01/01/1999,16:50,11.72,NaN,89.2,0.00,0.0,NaN
01/01/1999,17:50,12.78,NaN,83.2,2.06,NaN,NaN
01/01/1999,18:50,15.00,NaN,75.0,2.57,250.0,NaN
01/01/1999,19:50,15.00,NaN,75.0,4.12,280.0,NaN
01/01/1999,20:50,16.11,NaN,64.4,3.09,240.0,NaN
01/01/1999,21:50,16.72,NaN,62.0,3.09,260.0,NaN
01/01/1999,22:50,18.89,NaN,50.1,2.06,NaN,NaN
01/01/1999,23:50,15.00,NaN,77.6,5.14,250.0,NaN
01/02/1999,00:50,13.28,NaN,86.7,4.63,260.0,NaN
01/02/1999,01:50,12.22,NaN,96.8,3.09,250.0,NaN
01/02/1999,02:50,12.22,NaN,100.0,3.60,250.0,NaN
01/02/1999,03:50,12.22,NaN,89.9,2.06,250.0,NaN
01/02/1999,04:50,12.78,NaN,96.4,0.00,0.0,NaN
01/02/1999,05:50,11.72,NaN,100.0,2.06,60.0,NaN
01/02/1999,06:50,10.61,NaN,100.0,2.06,90.0,NaN
01/02/1999,07:50,10.61,NaN,100.0,2.57,90.0,NaN
01/02/1999,08:50,10.00,NaN,96.0,1.54,100.0,NaN
01/02/1999,09:50,10.61,NaN,85.5,2.06,130.0,NaN
01/02/1999,10:50,7.78,NaN,100.0,1.54,120.0,NaN
01/02/1999,11:50,7.78,NaN,100.0,0.00,0.0,NaN
01/02/1999,12:50,6.72,NaN,100.0,1.54,90.0,NaN
01/02/1999,13:50,7.22,NaN,100.0,1.54,100.0,NaN
01/02/1999,14:50,7.22,NaN,94.4,2.57,60.0,NaN
01/02/1999,15:50,10.00,NaN,56.4,2.06,90.0,NaN
01/02/1999,16:50,15.00,NaN,40.6,2.06,60.0,NaN
01/02/1999,17:50,17.22,NaN,38.0,2.06,110.0,NaN
01/02/1999,18:50,21.11,NaN,21.6,3.60,110.0,NaN
